coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
NEPT|Metanept|NEPT|Metanept|False|True|Ethereum(ERC20)
BQT|BQT|BQT|BQT|False|True|Ethereum(ERC20)
CANTO|CANTO|CANTO|CANTO|True|False|CANTO
CANTO|CANTO|CANTO|CANTO|True|True|CANTOEVM
SLND|Solend|SLND|Solend|False|True|Solana(SOL)
APLP|APPLEPIE|APLP|APPLEPIE|False|True|Ethereum(ERC20)
BNXOLD|BinaryX|BNXOLD|BinaryX|False|True|BNB Smart Chain(BEP20)
MBLK|Magical Blocks|MBLK|Magical Blocks|True|True|Ethereum(ERC20)
SSS|StarSharks|SSS|StarSharks|False|True|BNB Smart Chain(BEP20)
BRC|Baer Chain|BRC|Baer Chain|False|False|Ethereum(ERC20)
BRE|Boba Brewery|BRE|Boba Brewery|False|True|BNB Smart Chain(BEP20)
SST|SmileStackAI|SST|SmileStackAI|True|True|BNB Smart Chain(BEP20)
BRD|Angry Birds|BRD|Angry Birds|True|True|BNB Smart Chain(BEP20)
BRG| Bridge Oracle|BRG| Bridge Oracle|False|False|Tron(TRC20)
SSV|SSV Token|SSV|SSV Token|True|True|Ethereum(ERC20)
SSX|SOMESING|SSX|SOMESING|False|True|Klaytn(KLAY)
ETH2|ETH 2.0|ETH2|ETH 2.0|True|True|Ethereum(ERC20)
KCS|KuCoin Token|KCS|KuCoin Token|True|True|Ethereum(ERC20)
NTVRK|Netvrk|NTVRK|Netvrk|False|False|Ethereum(ERC20)
BRO|DexBrowser|BRO|DexBrowser|False|True|Fantom(FTM)
BRN|BRN Metaverse|BRN|BRN Metaverse|True|True|BNB Smart Chain(BEP20)
STA|DeFi STOA|STA|DeFi STOA|True|True|Ethereum(ERC20)
BRS|Broovs Token|BRS|Broovs Token|True|True|BNB Smart Chain(BEP20)
STC|SaitaChain|STC|SaitaChain|True|True|BNB Smart Chain(BEP20)
PRIMATE|Primate|PRIMATE|Primate|False|False|Ethereum(ERC20)
BRT|Bikerush|BRT|Bikerush|False|True|BNB Smart Chain(BEP20)
STG|Stargate Finance|STG|Stargate Finance|True|True|BNB Smart Chain(BEP20)
STG|Stargate Finance|STG|Stargate Finance|True|True|Ethereum(ERC20)
LOVESNOOPY|I LOVE SNOOPY|LOVESNOOPY|I LOVE SNOOPY|True|True|Ethereum(ERC20)
IOTX|IoTeX Network|IOTX|IoTeX Network|True|True|IOTX
